_id,service_id,flight_id,service_type,service_time,status
685abfcf0f1531c3d1c750f5,S00001,FL00001,Security Check,2023-01-08T07:00:00,In Progress
685abfcf0f1531c3d1c750f6,S00002,FL00001,Baggage Handling,2023-01-08T08:00:00,In Progress
685abfcf0f1531c3d1c750f7,S00003,FL00001,Boarding,2023-01-08T08:00:00,Cancelled
685abfcf0f1531c3d1c750f8,S00004,FL00002,Security Check,2023-08-16T07:00:00,Cancelled
685abfcf0f1531c3d1c750f9,S00005,FL00002,Baggage Handling,2023-08-16T08:00:00,Completed
685abfcf0f1531c3d1c750fa,S00006,FL00002,Boarding,2023-08-16T08:00:00,Completed
685abfcf0f1531c3d1c750fb,S00007,FL00003,Security Check,2023-12-19T13:00:00,Completed
685abfcf0f1531c3d1c750fc,S00008,FL00003,Baggage Handling,2023-12-19T12:00:00,Cancelled
685abfcf0f1531c3d1c750fd,S00009,FL00003,Boarding,2023-12-19T12:00:00,Cancelled
685abfcf0f1531c3d1c750fe,S00010,FL00004,Security Check,2023-08-21T09:00:00,Cancelled
685abfcf0f1531c3d1c750ff,S00011,FL00004,Baggage Handling,2023-08-21T10:00:00,In Progress
685abfcf0f1531c3d1c75100,S00012,FL00004,Boarding,2023-08-21T11:00:00,Cancelled
685abfcf0f1531c3d1c75101,S00013,FL00005,Security Check,2023-12-30T04:00:00,Cancelled
685abfcf0f1531c3d1c75102,S00014,FL00005,Baggage Handling,2023-12-30T02:00:00,Cancelled
685abfcf0f1531c3d1c75103,S00015,FL00005,Boarding,2023-12-30T04:00:00,In Progress
685abfcf0f1531c3d1c75104,S00016,FL00006,Security Check,2023-08-25T12:00:00,Completed
685abfcf0f1531c3d1c75105,S00017,FL00006,Baggage Handling,2023-08-25T13:00:00,In Progress
685abfcf0f1531c3d1c75106,S00018,FL00006,Boarding,2023-08-25T13:00:00,In Progress
685abfcf0f1531c3d1c75107,S00019,FL00007,Security Check,2023-01-26T21:00:00,Completed
685abfcf0f1531c3d1c75108,S00020,FL00007,Baggage Handling,2023-01-26T21:00:00,In Progress
685abfcf0f1531c3d1c75109,S00021,FL00007,Boarding,2023-01-26T22:00:00,Cancelled
685abfcf0f1531c3d1c7510a,S00022,FL00008,Security Check,2023-03-23T05:00:00,Completed
685abfcf0f1531c3d1c7510b,S00023,FL00008,Baggage Handling,2023-03-23T07:00:00,Cancelled
685abfcf0f1531c3d1c7510c,S00024,FL00008,Boarding,2023-03-23T07:00:00,Completed
685abfcf0f1531c3d1c7510d,S00025,FL00009,Security Check,2023-12-02T17:00:00,In Progress
685abfcf0f1531c3d1c7510e,S00026,FL00009,Baggage Handling,2023-12-02T15:00:00,In Progress
685abfcf0f1531c3d1c7510f,S00027,FL00009,Boarding,2023-12-02T18:00:00,Completed
685abfcf0f1531c3d1c75110,S00028,FL00010,Security Check,2023-08-03T02:00:00,Completed
685abfcf0f1531c3d1c75111,S00029,FL00010,Baggage Handling,2023-08-03T00:00:00,Completed
685abfcf0f1531c3d1c75112,S00030,FL00010,Boarding,2023-08-03T02:00:00,Completed
685abfcf0f1531c3d1c75113,S00031,FL00011,Security Check,2023-09-17T16:00:00,In Progress
685abfcf0f1531c3d1c75114,S00032,FL00011,Baggage Handling,2023-09-17T19:00:00,In Progress
685abfcf0f1531c3d1c75115,S00033,FL00011,Boarding,2023-09-17T16:00:00,Cancelled
685abfcf0f1531c3d1c75116,S00034,FL00012,Security Check,2023-04-23T21:00:00,Completed
685abfcf0f1531c3d1c75117,S00035,FL00012,Baggage Handling,2023-04-23T20:00:00,Completed
685abfcf0f1531c3d1c75118,S00036,FL00012,Boarding,2023-04-23T20:00:00,Completed
685abfcf0f1531c3d1c75119,S00037,FL00013,Security Check,2023-05-11T05:00:00,Completed
685abfcf0f1531c3d1c7511a,S00038,FL00013,Baggage Handling,2023-05-11T06:00:00,In Progress
