_id,flight_id,flight_number,departure_airport,arrival_airport,departure_time,arrival_time,status,capacity,airline
685abfc00f1531c3d1c71866,FL00001,AF348,CDG,DEL,2023-01-08T10:00:00,2023-01-08T17:00:00,On Time,300,Qatar Airways
685abfc00f1531c3d1c71867,FL00002,AF262,CDG,BKK,2023-08-16T11:00:00,2023-08-16T15:00:00,On Time,250,Lufthansa
685abfc00f1531c3d1c71868,FL00003,AF484,CDG,PEK,2023-12-19T14:00:00,2023-12-20T02:00:00,Cancelled,220,United Airlines
685abfc00f1531c3d1c71869,FL00004,AF673,CDG,DXB,2023-08-21T13:00:00,2023-08-21T23:00:00,On Time,220,United Airlines
685abfc00f1531c3d1c7186a,FL00005,AF218,CDG,ICN,2023-12-30T05:00:00,2023-12-30T10:00:00,Cancelled,250,Lufthansa
685abfc00f1531c3d1c7186b,FL00006,AF523,CDG,NRT,2023-08-25T15:00:00,2023-08-26T03:00:00,On Time,220,Qatar Airways
685abfc00f1531c3d1c7186c,FL00007,AF861,CDG,LIS,2023-01-27T00:00:00,2023-01-27T04:00:00,On Time,250,British Airways
685abfc00f1531c3d1c7186d,FL00008,AF900,CDG,MEX,2023-03-23T08:00:00,2023-03-23T15:00:00,Delayed,220,Singapore Airlines
685abfc00f1531c3d1c7186e,FL00009,AF904,CDG,FRA,2023-12-02T19:00:00,2023-12-03T04:00:00,On Time,300,Singapore Airlines
685abfc00f1531c3d1c7186f,FL00010,AF282,CDG,HND,2023-08-03T04:00:00,2023-08-03T06:00:00,Cancelled,220,Singapore Airlines
685abfc00f1531c3d1c71870,FL00011,AF420,CDG,LAX,2023-09-17T20:00:00,2023-09-18T05:00:00,Cancelled,220,Singapore Airlines
685abfc00f1531c3d1c71871,FL00012,AF631,CDG,HND,2023-04-23T23:00:00,2023-04-24T06:00:00,Delayed,180,Qatar Airways
685abfc00f1531c3d1c71872,FL00013,AF565,CDG,BOM,2023-05-11T08:00:00,2023-05-11T18:00:00,On Time,180,British Airways
685abfc00f1531c3d1c71873,FL00014,AF781,CDG,JNB,2023-01-06T20:00:00,2023-01-07T07:00:00,On Time,250,Qatar Airways
685abfc00f1531c3d1c71874,FL00015,AF159,CDG,DEL,2023-03-18T20:00:00,2023-03-19T02:00:00,Cancelled,300,Lufthansa
685abfc00f1531c3d1c71875,FL00016,AF381,CDG,CPT,2023-02-07T03:00:00,2023-02-07T15:00:00,On Time,250,Qatar Airways
685abfc00f1531c3d1c71876,FL00017,AF485,CDG,YUL,2023-01-14T20:00:00,2023-01-15T03:00:00,Cancelled,300,Emirates
685abfc00f1531c3d1c71877,FL00018,AF949,CDG,YUL,2023-04-08T15:00:00,2023-04-08T19:00:00,On Time,250,United Airlines
685abfc00f1531c3d1c71878,FL00019,AF694,CDG,SFO,2023-09-07T15:00:00,2023-09-07T23:00:00,Delayed,250,Emirates
685abfc00f1531c3d1c71879,FL00020,AF253,CDG,ZRH,2023-05-08T00:00:00,2023-05-08T02:00:00,On Time,250,Singapore Airlines
685abfc00f1531c3d1c7187a,FL00021,AF769,CDG,NRT,2023-04-07T22:00:00,2023-04-08T00:00:00,Delayed,250,British Airways
685abfc00f1531c3d1c7187b,FL00022,AF648,CDG,FRA,2023-09-13T21:00:00,2023-09-14T00:00:00,Delayed,220,Qatar Airways
685abfc00f1531c3d1c7187c,FL00023,AF584,CDG,CPT,2023-10-20T17:00:00,2023-10-20T21:00:00,Delayed,300,KLM
685abfc00f1531c3d1c7187d,FL00024,AF644,CDG,DXB,2023-01-17T07:00:00,2023-01-17T16:00:00,On Time,300,British Airways
685abfc00f1531c3d1c7187e,FL00025,AF326,CDG,NRT,2023-12-05T01:00:00,2023-12-05T11:00:00,On Time,220,Emirates
685abfc00f1531c3d1c7187f,FL00026,AF400,CDG,DXB,2023-02-04T15:00:00,2023-02-04T17:00:00,Delayed,300,British Airways
685abfc00f1531c3d1c71880,FL00027,AF583,CDG,AMS,2023-05-29T03:00:00,2023-05-29T08:00:00,Cancelled,180,Lufthansa
685abfc00f1531c3d1c71881,FL00028,AF644,CDG,MEX,2023-07-24T14:00:00,2023-07-24T19:00:00,Delayed,220,Qatar Airways
685abfc00f1531c3d1c71882,FL00029,AF170,CDG,BKK,2023-09-08T07:00:00,2023-09-08T10:00:00,Delayed,300,Air France
685abfc00f1531c3d1c71883,FL00030,AF189,CDG,BKK,2023-12-05T13:00:00,2023-12-05T15:00:00,Delayed,300,British Airways
685abfc00f1531c3d1c71884,FL00031,AF120,CDG,LAX,2023-11-11T12:00:00,2023-11-11T20:00:00,Delayed,220,KLM
685abfc00f1531c3d1c71885,FL00032,AF379,CDG,ICN,2023-08-06T13:00:00,2023-08-06T19:00:00,Cancelled,180,Qatar Airways
685abfc00f1531c3d1c71886,FL00033,AF356,CDG,ZRH,2023-07-22T03:00:00,2023-07-22T13:00:00,Delayed,300,United Airlines
685abfc00f1531c3d1c71887,FL00034,AF221,CDG,HND,2023-02-11T06:00:00,2023-02-11T10:00:00,Delayed,180,Emirates
685abfc00f1531c3d1c71888,FL00035,AF859,CDG,BKK,2023-04-11T13:00:00,2023-04-11T20:00:00,Cancelled,300,British Airways
685abfc00f1531c3d1c71889,FL00036,AF221,CDG,AMS,2023-08-11T04:00:00,2023-08-11T08:00:00,Cancelled,300,KLM
685abfc00f1531c3d1c7188a,FL00037,AF545,CDG,ICN,2023-02-21T22:00:00,2023-02-22T10:00:00,Cancelled,220,British Airways
685abfc00f1531c3d1c7188b,FL00038,AF895,CDG,JNB,2023-01-06T05:00:00,2023-01-06T09:00:00,Delayed,220,Air France
685abfc00f1531c3d1c7188c,FL00039,AF963,CDG,BKK,2023-10-06T01:00:00,2023-10-06T04:00:00,On Time,250,United Airlines
685abfc00f1531c3d1c7188d,FL00040,AF423,CDG,LIS,2023-03-24T05:00:00,2023-03-24T17:00:00,Cancelled,300,Lufthansa
685abfc00f1531c3d1c7188e,FL00041,AF384,CDG,JFK,2023-06-30T21:00:00,2023-07-01T04:00:00,Delayed,300,Singapore Airlines
685abfc00f1531c3d1c7188f,FL00042,AF229,CDG,YUL,2023-08-14T09:00:00,2023-08-14T11:00:00,Cancelled,300,Emirates
