_id,passenger_id,flight_id,booking_date,class,price,seat_number,airline,luggage_weight,checkin_time,payment_method,booking_channel,frequent_flyer,arrival_airport,destination_country,destination_zone,meal_preference
685abfd60f1531c3d1c76865,P00001,FL01496,2023-03-03,Economy,143.65,34A,Qatar Airways,27.1,2023-03-19T21:05:00.168976,Google Pay,Mobile App,Gold,AMS,Netherlands,Europe,Kosher
685abfd60f1531c3d1c76866,P00001,FL00415,2022-12-10,Economy,105.16,10A,Singapore Airlines,18.4,2023-01-14T22:30:42.280637,Google Pay,Mobile App,Platinum,YUL,Canada,North America,Kosher
685abfd60f1531c3d1c76867,P00002,FL00764,2023-08-20,Business,712.79,55E,Air France,6.2,2023-10-11T06:29:54.844713,Google Pay,Website,NaN,BKK,Thailand,Asia,Standard
685abfd60f1531c3d1c76868,P00002,FL00357,2023-11-28,Economy,184.98,30B,United Airlines,27.3,2023-12-09T01:31:26.076432,Credit Card,Mobile App,NaN,FRA,Germany,Europe,Standard
685abfd60f1531c3d1c76869,P00002,FL01395,2023-06-12,Business,745.25,20F,Singapore Airlines,22,2023-06-27T16:25:45.734735,Apple Pay,Mobile App,Gold,ICN,South Korea,Asia,Standard
685abfd60f1531c3d1c7686a,P00002,FL01834,2023-06-23,Premium Economy,302.29,53C,United Airlines,6.6,2023-08-07T07:44:35.678539,Credit Card,Travel Agency,NaN,NRT,Japan,Asia,Standard
685abfd60f1531c3d1c7686b,P00003,FL00845,2023-07-12,Economy,204.72,42E,Qatar Airways,22.7,2023-08-11T03:47:12.608520,Google Pay,Mobile App,NaN,NRT,Japan,Asia,Lactose-Free
685abfd60f1531c3d1c7686c,P00003,FL01847,2023-05-29,Economy,189.14,8F,United Airlines,29.2,2023-06-30T15:42:04.514940,Bank Transfer,Website,Silver,PEK,China,Asia,Lactose-Free
685abfd60f1531c3d1c7686d,P00003,FL01069,2023-09-04,Economy,143.2,26A,Singapore Airlines,9.8,2023-10-03T11:06:38.154668,Bank Transfer,Travel Agency,NaN,SFO,United States,North America,Lactose-Free
685abfd60f1531c3d1c7686e,P00004,FL00072,2023-06-14,Economy,133.94,53C,Qatar Airways,26.3,2023-06-30T10:26:57.616399,Credit Card,Mobile App,Silver,JNB,South Africa,Africa,Standard
